iter	F1	Logloss
0	0.8806818182	0.6804313072
1	0.8806818182	0.6680920437
2	0.8806818182	0.6561198176
3	0.8806818182	0.6445051425
4	0.8806818182	0.6332386293
5	0.8806818182	0.6223109965
6	0.8806818182	0.6117130805
7	0.880794702	0.6007995706
8	0.880794702	0.5907957798
9	0.880794702	0.5805550742
10	0.880794702	0.5711124653
11	0.880794702	0.5619583829
12	0.880794702	0.5524495249
13	0.880794702	0.5438128936
14	0.880794702	0.5354414987
15	0.880794702	0.5267404287
16	0.880794702	0.519269548
17	0.880794702	0.5113899225
18	0.880794702	0.5043197444
19	0.880794702	0.4970410298
20	0.880794702	0.4893531369
21	0.8860640301	0.4828715863
22	0.8812115476	0.4762001369
23	0.8943862988	0.4694598287
24	0.8860640301	0.4636160776
25	0.8923660503	0.4573450241
26	0.893637227	0.4511142278
27	0.8983606557	0.4456072403
28	0.9076638966	0.4403567614
29	0.9084181314	0.4345160786
30	0.9087540528	0.4294350032
31	0.909596662	0.4245487612
32	0.9087540528	0.4197039345
33	0.9087540528	0.4149288518
34	0.9090909091	0.4093721848
35	0.9090909091	0.4037152885
36	0.9090909091	0.398551206
37	0.9085846868	0.3932072382
38	0.9090909091	0.3891100783
39	0.9085846868	0.3848165206
40	0.9085846868	0.3798619469
41	0.9084146908	0.3761444992
42	0.9079925651	0.3721967204
43	0.9079925651	0.367590476
44	0.9084997678	0.363969747
45	0.9110386586	0.3604583031
46	0.911627907	0.3568548787
47	0.9106145251	0.3533843951
48	0.9115456238	0.3499725935
49	0.9131444496	0.346709121
50	0.911627907	0.34274289
51	0.9130636913	0.3393348295
52	0.9130636913	0.3368940577
53	0.9129827827	0.3335876888
54	0.9120521173	0.3308348184
55	0.914073386	0.3285405768
56	0.9150812065	0.3253466782
57	0.9155844156	0.323149492
58	0.9150023223	0.3205061659
59	0.9170143718	0.3177645198
60	0.9178654292	0.3153393894
61	0.9182915506	0.3133164395
62	0.9178654292	0.3104262682
63	0.9178654292	0.307661655
64	0.9178654292	0.3048736361
65	0.9173630455	0.3025536217
66	0.9177891314	0.3007425876
67	0.9178654292	0.2985498155
68	0.9173630455	0.2967421293
69	0.9173630455	0.2950533701
70	0.9178654292	0.2923062763
71	0.9183673469	0.2898467567
72	0.9183673469	0.2873862142
73	0.9183673469	0.2850393534
74	0.9183673469	0.2835216918
75	0.9179415855	0.2813632925
76	0.9183673469	0.2798758025
77	0.9183673469	0.2777996992
78	0.9200743494	0.2756495593
79	0.9196470042	0.2733650577
80	0.9205020921	0.2719500568
81	0.9205020921	0.2699517103
82	0.9210037175	0.2679607246
83	0.9210037175	0.2664759478
84	0.9205759405	0.2644050805
85	0.9200743494	0.262588887
86	0.9194974407	0.2609030204
87	0.9194974407	0.2591300516
88	0.9204281061	0.2573833003
89	0.9203539823	0.2560447684
90	0.9205020921	0.2541778088
91	0.9209302326	0.2526303257
92	0.9213587715	0.251374753
93	0.9213587715	0.2497515256
94	0.9214318921	0.2476271143
95	0.9213587715	0.2464129444
96	0.9209302326	0.2451019303
97	0.9204281061	0.2435324259
98	0.9209302326	0.2420185817
99	0.9227188082	0.2407432173
100	0.9236499069	0.2392492969
101	0.924009324	0.2378065118
102	0.9253731343	0.2364652645
103	0.9249417249	0.2350624405
104	0.9263059701	0.2339927667
105	0.9268065268	0.2326222953
106	0.9271708683	0.2312611893
107	0.9277389277	0.2298968514
108	0.9286047597	0.2287705115
109	0.9277389277	0.2277225652
110	0.9281716418	0.2264298477
111	0.9291044776	0.2254056055
112	0.9287377736	0.2241426927
113	0.9291705499	0.2229044813
114	0.9300373134	0.2215389485
115	0.9301025163	0.2203284628
116	0.9310986965	0.219396549
117	0.9305361305	0.2183167869
118	0.9310344828	0.2173162843
119	0.9310344828	0.2163937855
120	0.9320297952	0.2152230002
121	0.9334574221	0.2141105881
122	0.9329608939	0.212851177
123	0.9329608939	0.2117645602
124	0.9339534884	0.2108165208
125	0.9334574221	0.2098614611
126	0.9338919926	0.2091451428
127	0.9338919926	0.2080043046
128	0.9348230912	0.2071253442
129	0.9348230912	0.2060749082
130	0.9358139535	0.2049028789
131	0.9358139535	0.2042262877
132	0.9358139535	0.2033165068
133	0.9362494183	0.2026608837
134	0.9366852886	0.2018309843
135	0.9371800838	0.2008226942
136	0.9371800838	0.1998429381
137	0.9366852886	0.1992160466
138	0.9366852886	0.1983749288
139	0.9366852886	0.1974031583
140	0.9371800838	0.196511539
141	0.9376163873	0.1957867966
142	0.9386046512	0.1947708013
143	0.9390414146	0.1941815606
144	0.9389846297	0.1934679227
145	0.938547486	0.1924871866
146	0.940027894	0.1916540229
147	0.9410125406	0.1906661083
148	0.9410125406	0.1898377307
149	0.9415041783	0.189279594
150	0.9415041783	0.1883302159
151	0.9410125406	0.187643864
152	0.9415041783	0.1869024036
153	0.9415041783	0.1864169843
154	0.9415041783	0.1859030778
155	0.9415041783	0.185017467
156	0.9415041783	0.1845185282
157	0.9419953596	0.1840317398
158	0.9419953596	0.1834031309
159	0.9419953596	0.1827269342
160	0.9419953596	0.1819768116
161	0.9424326834	0.1815054168
162	0.9424326834	0.181102976
163	0.9428704134	0.1801668434
164	0.9433611885	0.1796893987
165	0.9428704134	0.1791840508
166	0.9433611885	0.178527705
167	0.9437993497	0.1777507162
168	0.9437993497	0.1769982977
169	0.9442896936	0.1766129861
170	0.9442896936	0.1760391366
171	0.9442896936	0.1756408807
172	0.9433611885	0.1750214017
173	0.9433611885	0.1746039419
174	0.9437993497	0.1739793014
175	0.9451672862	0.1735253345
176	0.9452181987	0.1726630289
177	0.9457076566	0.172035943
178	0.9461966605	0.1716815939
179	0.9466852109	0.1710817406
180	0.9466357309	0.1703962516
181	0.9471243043	0.1699549858
182	0.9466852109	0.1695318782
183	0.9475638051	0.1688958153
184	0.9475638051	0.1680923221
185	0.9475638051	0.1675260533
186	0.9475638051	0.1671408343
187	0.9471243043	0.1665107189
188	0.9471243043	0.1661308324
189	0.9475638051	0.1655696737
190	0.9475638051	0.1649725385
191	0.948003714	0.1643014501
192	0.9484918794	0.1639386403
193	0.9484918794	0.1633622264
194	0.9489322191	0.1629752044
195	0.9494199536	0.1626239469
196	0.9494199536	0.1621387826
197	0.9494199536	0.1616196475
198	0.9499072356	0.1609335604
199	0.9499072356	0.160556032
200	0.9499072356	0.1599399057
201	0.9499072356	0.1594240862
202	0.9499072356	0.1590604617
203	0.9499072356	0.1585636152
204	0.9503940658	0.1582402852
205	0.9522927281	0.1577122107
206	0.9518072289	0.1572075016
207	0.952734013	0.1567063224
208	0.952734013	0.1563571828
209	0.952734013	0.1558430417
210	0.9532190829	0.1555231392
211	0.9532190829	0.1550424266
212	0.953660797	0.1545614211
213	0.9532190829	0.15400168
214	0.953660797	0.1535033163
215	0.9549883991	0.1530851588
216	0.9549883991	0.152775664
217	0.9554730983	0.1523204996
218	0.9554730983	0.1520121603
219	0.9550301344	0.151571485
220	0.9550301344	0.151054732
221	0.9550301344	0.1506938594
222	0.9555143652	0.1502621089
223	0.9559573482	0.1498004109
224	0.9559573482	0.1495061498
225	0.9559573482	0.1489812464
226	0.9564007421	0.1486297396
227	0.9568445476	0.1481667721
228	0.9568445476	0.1477981832
229	0.9568445476	0.1474012928
230	0.9568445476	0.1470582455
231	0.9568445476	0.1464956046
232	0.9578117756	0.1458959813
233	0.9577726218	0.1455360292
234	0.9582560297	0.1452590667
235	0.9587389893	0.1447642035
236	0.9587389893	0.1444186327
237	0.9587389893	0.1441029932
238	0.9587389893	0.1436936074
239	0.9587389893	0.1434181955
240	0.9587389893	0.1431409698
241	0.9582560297	0.1427065452
242	0.9582560297	0.142435263
243	0.9577726218	0.1420128765
244	0.9587389893	0.141652308
245	0.9582560297	0.1411943714
246	0.9582560297	0.1407263959
247	0.9582560297	0.1404646839
248	0.9582560297	0.1402067395
249	0.9582560297	0.1398505176
250	0.9592215014	0.1393394859
251	0.9592215014	0.1390334246
252	0.9592215014	0.1387603534
253	0.9587389893	0.138427701
254	0.9587389893	0.1380903158
255	0.9592215014	0.1376426305
256	0.9592215014	0.1373414751
257	0.9592215014	0.1370702086
258	0.9592215014	0.1367461883
259	0.9601851852	0.1365061341
260	0.9597035665	0.1361595456
261	0.9597035665	0.1357202623
262	0.9597035665	0.1354282446
263	0.9597035665	0.1351162637
264	0.9597035665	0.1347789414
265	0.9597035665	0.134417184
266	0.9597035665	0.1340893004
267	0.9597035665	0.1336603184
268	0.9597035665	0.1334130421
269	0.9597035665	0.1331058716
270	0.9597035665	0.1327898257
271	0.9597035665	0.1323472342
272	0.9597035665	0.1320658709
273	0.9597035665	0.1317703482
274	0.9597035665	0.1314628326
275	0.9597035665	0.131068611
276	0.9597035665	0.1307992107
277	0.9597035665	0.1305750362
278	0.9597035665	0.1302830523
279	0.9597035665	0.1298789929
280	0.9597035665	0.129663806
281	0.9597035665	0.1294203667
282	0.9597035665	0.1290662376
283	0.9597035665	0.1288984504
284	0.9597035665	0.1285941595
285	0.9597035665	0.1282948036
286	0.9601851852	0.1280879631
287	0.9601851852	0.1278706257
288	0.9601851852	0.1275413809
289	0.9601851852	0.1273296518
290	0.9601851852	0.1271190624
291	0.9606663582	0.1267232222
292	0.9606663582	0.126361309
293	0.961147086	0.1261565341
294	0.961147086	0.1258386072
295	0.9606663582	0.1255132203
296	0.9606663582	0.1252903499
297	0.9611111111	0.1250901179
298	0.9615918556	0.1247689924
299	0.9615918556	0.1244834914
300	0.9615918556	0.1241775731
301	0.961147086	0.1240059148
302	0.9615918556	0.1237021617
303	0.9615918556	0.1233529405
304	0.9615918556	0.1231475027
305	0.962037037	0.1228718429
306	0.962037037	0.1226816459
307	0.962037037	0.1224393332
308	0.962037037	0.1220147703
309	0.962037037	0.1217260212
310	0.962037037	0.1214018148
311	0.962037037	0.121176548
312	0.962037037	0.1207743035
313	0.962037037	0.120493724
314	0.962037037	0.1203242238
315	0.9615918556	0.1199892441
316	0.962037037	0.1198006081
317	0.962037037	0.1196011015
318	0.962037037	0.1194181967
319	0.9620721554	0.1190945467
320	0.962962963	0.1188360419
321	0.9624826308	0.1185614485
322	0.962962963	0.1183489193
323	0.962962963	0.1181553175
324	0.962962963	0.1178394974
325	0.9638888889	0.1175712411
326	0.9638888889	0.1173136967
327	0.9638888889	0.1171543608
328	0.9638888889	0.1169462179
329	0.9638888889	0.1166986038
330	0.9638888889	0.1164946899
331	0.964368348	0.1163258551
332	0.964368348	0.1159907651
333	0.964368348	0.1157891546
334	0.9648148148	0.1155910213
335	0.9648148148	0.115272042
336	0.9652616952	0.1150974327
337	0.9652616952	0.1149147364
338	0.9657407407	0.1146206845
339	0.9657407407	0.1143941646
340	0.9657407407	0.1140999441
341	0.9657407407	0.1138471381
342	0.9657407407	0.1136974486
343	0.9657407407	0.1134943235
344	0.9662193429	0.1132481035
345	0.9662193429	0.1130495313
346	0.9666975023	0.1127805518
347	0.9666975023	0.1126061991
348	0.9666975023	0.1123242875
349	0.9666975023	0.112137884
350	0.9666975023	0.1119610122
351	0.9662505779	0.1117452437
352	0.9662505779	0.1115905307
353	0.9671752196	0.1113671049
354	0.966728281	0.1111026426
355	0.9672055427	0.1109238813
356	0.9672055427	0.1108010676
357	0.966728281	0.1105069848
358	0.966728281	0.1103329858
359	0.9672055427	0.1101734934
360	0.9672055427	0.1100068084
361	0.9681587448	0.1097917917
362	0.9676823638	0.1096423569
363	0.9676823638	0.1094426263
364	0.9681587448	0.1093050481
365	0.9681587448	0.109150072
366	0.9681587448	0.1089213721
367	0.9681587448	0.1086291057
368	0.9690816797	0.1084613437
369	0.9690816797	0.1083112103
370	0.9690816797	0.1081191819
371	0.9690816797	0.1078562855
372	0.9690816797	0.1076823956
373	0.9686057248	0.1074098712
374	0.9690816797	0.1072491083
375	0.9690816797	0.1070732793
376	0.9690816797	0.1067847455
377	0.9695571956	0.1066083463
378	0.9695571956	0.1064943058
379	0.9700322729	0.1063497158
380	0.9700322729	0.1060030225
381	0.9700322729	0.1058317185
382	0.9700322729	0.1056768809
383	0.9700322729	0.1055239755
384	0.9700322729	0.1053636099
385	0.9695571956	0.1050273072
386	0.9695571956	0.1048610631
387	0.9700322729	0.1047515651
388	0.9700322729	0.1046193689
389	0.9700322729	0.1044822138
390	0.9700322729	0.10434727
391	0.9700322729	0.1042259084
392	0.9704797048	0.1038997789
393	0.9704797048	0.1038365561
394	0.9704797048	0.1037055678
395	0.9709543568	0.1034629634
396	0.9704797048	0.1033161396
397	0.9704797048	0.1031271156
398	0.9709543568	0.1030224763
399	0.9714285714	0.1027860591
400	0.9714285714	0.1026893969
401	0.9714285714	0.1024894569
402	0.9714285714	0.1022837143
403	0.9714285714	0.1020796589
404	0.9714285714	0.1017696231
405	0.9714285714	0.1016489357
406	0.9714285714	0.1014560332
407	0.9714285714	0.1011531165
408	0.9714285714	0.1010134147
409	0.9714285714	0.1008749093
410	0.9714285714	0.1007345798
411	0.9714285714	0.1005056708
412	0.9714285714	0.1002680504
413	0.9714285714	0.1000887571
414	0.9714285714	0.09990654067
415	0.9719023491	0.0996704897
416	0.9719023491	0.09944594907
417	0.9719023491	0.09931183364
418	0.9723756906	0.09909208669
419	0.9723756906	0.09892114532
420	0.9723756906	0.09875927929
421	0.9719023491	0.09853464896
422	0.9723756906	0.09832011613
423	0.9723756906	0.09822445439
